total_rider_payments,total_driver_payouts,rider_cac_total,driver_cac_total,num_churned_drivers,num_churned_riders,num_successful_rides,num_failed_rides,max_num_drivers,max_num_riders,lyft_take,net_revenue
22447.5,21998.55,6453.204000000001,1133.2,2.55,286.27,897.9,18.67,5,100,0.5,-7137.4540000000015
22159.5,20386.74,6178.389000000003,1201.8,2.92,268.35,886.38,47.85,5,100,2,-5607.429000000003
18996.0,15956.64,4921.976000000001,1152.6,2.59,191.49,759.84,251.38,5,100,4,-3035.216
15653.5,11896.66,4346.928000000001,1199.7,2.84,157.92,626.14,418.26,5,100,6,-1789.7880000000002
11939.75,8119.03,4016.6099999999988,1254.0,3.15,140.19,477.59,584.54,5,100,8,-1449.8900000000003
9991.5,6394.56,3921.6539999999995,1226.1,3.04,134.69,399.66,667.51,5,100,9,-1550.8140000000005
8064.25,4838.55,3742.785999999999,1213.9,2.97,125.3,322.57,753.77,5,100,10,-1730.986
44924.25,44025.765,12850.784000000003,565.7,1.29,569.23,1796.97,36.94,2,200,0.5,-12517.999000000003
44299.0,40755.08,12350.405,536.3,1.13,537.06,1771.96,93.71,2,200,2,-9342.785000000002
37945.0,31873.8,9730.361499999995,542.6,1.16,376.89,1517.8,507.71,2,200,4,-4201.7615000000005
31254.75,23753.61,8685.959499999995,536.3,1.15,316.62,1250.19,835.58,2,200,6,-1721.1194999999989
23835.75,16208.31,7994.343000000001,580.4,1.32,278.81,953.43,1169.88,2,200,8,-947.3029999999987
20053.0,12833.92,7744.935000000001,569.9,1.29,263.7,802.12,1336.25,2,200,9,-1095.7549999999983
16029.5,9617.7,7530.384499999998,540.5,1.12,252.29,641.18,1508.31,2,200,10,-1659.0844999999983
44869.0,43971.62,12882.545999999997,1197.1,2.84,571.3,1794.76,37.02,5,200,0.5,-13182.265999999996
44261.5,40720.58,12370.534,1221.2,2.96,538.09,1770.46,94.17,5,200,2,-10050.813999999995
37895.0,31831.8,9741.226999999999,1189.2,2.84,377.92,1515.8,508.67,5,200,4,-4867.227000000002
31244.25,23745.63,8706.8105,1222.4,2.93,318.04,1249.77,834.23,5,200,6,-2430.590499999999
23919.0,16264.92,8007.054500000001,1196.6,2.85,278.42,956.76,1167.01,5,200,8,-1549.5744999999986
20018.25,12811.68,7740.028499999998,1167.0,2.74,263.61,800.73,1337.74,5,200,9,-1700.4584999999984
16101.75,9661.05,7514.786000000002,1189.2,2.83,251.47,644.07,1506.27,5,200,10,-2263.2859999999973
44894.25,43996.365,12875.5705,2324.3,5.87,570.79,1795.77,36.24,10,200,0.5,-14301.9855
44244.5,40704.94,12417.383999999998,2290.0,5.68,541.18,1769.78,91.72,10,200,2,-11167.823999999999
37885.75,31824.03,9768.994499999999,2290.9,5.73,379.75,1515.43,507.4,10,200,4,-5998.174500000002
31223.5,23729.86,8707.413000000002,2290.4,5.73,318.72,1248.94,834.66,10,200,6,-3504.1730000000007
23842.75,16213.07,7998.884500000003,2344.7,6.0,278.51,953.71,1169.77,10,200,8,-2713.9044999999983
20066.75,12842.72,7672.248500000001,2329.2,5.97,260.71,802.67,1338.41,10,200,9,-2777.4184999999984
16147.0,9688.2,7543.0594999999985,2177.4,5.25,252.02,645.88,1503.8,10,200,10,-3261.6594999999984
224036.25,219555.525,64421.96569999999,2293.1,5.78,2858.51,8961.45,182.89,10,1000,0.5,-62234.34069999997
221183.75,203489.05,61833.72140000003,2308.8,5.87,2691.96,8847.35,463.91,10,1000,2,-46447.82140000001
189507.5,159186.3,48851.79290000001,2294.4,5.82,1899.47,7580.3,2522.76,10,1000,4,-20824.99290000001
156184.0,118699.84,43275.64460000001,2259.5,5.59,1580.61,6247.36,4174.4,10,1000,6,-8050.984600000012
119323.75,81140.15,39864.144500000024,2288.3,5.73,1386.41,4772.95,5842.96,10,1000,8,-3968.84450000001
100285.25,64182.56,38564.20920000001,2328.5,6.01,1313.14,4011.41,6677.4,10,1000,9,-4790.0192000000125
80503.0,48301.8,37582.82210000002,2304.7,5.85,1257.98,3220.12,7523.8,10,1000,10,-7686.322100000012
